,bigram,PMI
0,"('$', '500')",14.224114757274513
1,"('30', 'minutes')",14.224114757274513
2,"('36', 'degrees')",14.224114757274513
3,"('500', 'per')",14.224114757274513
4,"('AMERICAN', 'CITIZENS')",14.224114757274513
5,"('ANY', 'THING')",14.224114757274513
6,"('Adam', 'till')",14.224114757274513
7,"('Allow', 'ALL')",14.224114757274513
8,"('BE', 'ALLOWED')",14.224114757274513
9,"('Between', '1810')",14.224114757274513
10,"('CONSENT', 'OF')",14.224114757274513
11,"('Charles', 'Allen')",14.224114757274513
12,"('DECREASED', '51')",14.224114757274513
13,"('DERIVING', 'THEIR')",14.224114757274513
14,"('DOMESTIC', 'CONCERNS')",14.224114757274513
15,"('EACH', 'STATE')",14.224114757274513
16,"('FUTURE', 'USE')",14.224114757274513
17,"('Fellow', 'countrymen')",14.224114757274513
18,"('H.', 'R.')",14.224114757274513
19,"('INCREASED', '7,211')",14.224114757274513
20,"('JUST', 'POWERS')",14.224114757274513
21,"('January', '4th')",14.224114757274513
22,"('Near', 'eighty')",14.224114757274513
23,"('OR', 'LABOR')",14.224114757274513
24,"('OWN', 'WAY')",14.224114757274513
25,"('PERSON', 'HELD')",14.224114757274513
26,"('PRO', 'TANTO')",14.224114757274513
27,"('PROVIDED', 'EACH')",14.224114757274513
28,"('Pacific', 'ocean')",14.224114757274513
29,"('Presidential', 'election')",14.224114757274513
30,"('Richard', 'Yates')",14.224114757274513
31,"('SERVICE', 'OR')",14.224114757274513
32,"('SHOULD', 'BE')",14.224114757274513
33,"('STATE', 'SHOULD')",14.224114757274513
34,"('St.', 'Louis')",14.224114757274513
35,"('TEN', 'YEARS')",14.224114757274513
36,"('THEIR', 'JUST')",14.224114757274513
37,"('Those', 'nearest')",14.224114757274513
38,"('almost', 'unanimously')",14.224114757274513
39,"('angels', 'fear')",14.224114757274513
40,"('apparent', 'hot')",14.224114757274513
41,"('apt', 'invention')",14.224114757274513
42,"('aptly', 'shown')",14.224114757274513
43,"('backers', 'WITHOUT')",14.224114757274513
44,"('benevolent', 'works')",14.224114757274513
45,"('bitter', 'irony')",14.224114757274513
46,"('body', 'politic')",14.224114757274513
47,"('born', 'thereafter')",14.224114757274513
48,"('construing', 'statutes')",14.224114757274513
49,"('corporal', 'penalties')",14.224114757274513
50,"('cotton', 'handkerchief')",14.224114757274513
51,"('cruel', 'slave-masters')",14.224114757274513
52,"('deeply', 'skilled')",14.224114757274513
53,"('deserve', 'kickings')",14.224114757274513
54,"('desperate', 'assumption')",14.224114757274513
55,"('differ', 'widely')",14.224114757274513
