,trigram,score
0,"('$', '500', 'per')",28.448229514549027
1,"('Adam', 'till', 'today')",28.448229514549027
2,"('DERIVING', 'THEIR', 'JUST')",28.448229514549027
3,"('EACH', 'STATE', 'SHOULD')",28.448229514549027
4,"('PROVIDED', 'EACH', 'STATE')",28.448229514549027
5,"('SERVICE', 'OR', 'LABOR')",28.448229514549027
6,"('SHOULD', 'BE', 'ALLOWED')",28.448229514549027
7,"('STATE', 'SHOULD', 'BE')",28.448229514549027
8,"('THEIR', 'JUST', 'POWERS')",28.448229514549027
9,"('apparent', 'hot', 'haste')",28.448229514549027
10,"('gentleman', 'deeply', 'skilled')",28.448229514549027
11,"('500', 'per', 'head')",27.448229514549027
12,"('CONSENT', 'OF', 'THE')",27.448229514549027
13,"('DOMESTIC', 'CONCERNS', 'IN')",27.448229514549027
14,"('ITS', 'DOMESTIC', 'CONCERNS')",27.448229514549027
15,"('ITS', 'OWN', 'WAY')",27.448229514549027
16,"('OF', 'THE', 'GOVERNED')",27.448229514549027
17,"('REGULATE', 'ITS', 'DOMESTIC')",27.448229514549027
18,"('THE', 'CONSENT', 'OF')",27.448229514549027
19,"('precise', 'stake', 'played')",27.448229514549027
20,"('red', 'cotton', 'handkerchief')",27.448229514549027
21,"('ALLOWED', 'TO', 'REGULATE')",26.86326701382787
22,"('BE', 'ALLOWED', 'TO')",26.86326701382787
23,"('HELD', 'TO', 'SERVICE')",26.86326701382787
24,"('JUST', 'POWERS', 'FROM')",26.86326701382787
25,"('PERSON', 'HELD', 'TO')",26.86326701382787
26,"('TO', 'SERVICE', 'OR')",26.86326701382787
27,"('determined', 'backers', 'WITHOUT')",26.86326701382787
28,"('CONCERNS', 'IN', 'ITS')",26.448229514549027
29,"('IN', 'ITS', 'OWN')",26.448229514549027
30,"('ONLY', 'BY', 'NECESSITY')",26.448229514549027
31,"('chief', 'material', 'enabling')",26.448229514549027
32,"('positive', 'congressional', 'enactment')",26.448229514549027
33,"('vast', 'pecuniary', 'sacrifices')",26.448229514549027
34,"('-as', 'unalterably', 'fixed')",26.448229514549023
35,"('Each', 'party', 'WITHIN')",26.126301419661665
36,"('On', 'January', '4th')",26.126301419661665
37,"('became', 'seriously', 'alarmed')",26.126301419661665
38,"('liberal', 'party', 'throughout')",26.126301419661665
39,"('most', 'cruel', 'slave-masters')",26.126301419661665
40,"('preceding', 'kindred', 'subjects')",26.126301419661665
41,"('prohibited', 'AMERICAN', 'CITIZENS')",26.126301419661665
42,"('seventy', 'thousand', 'answers')",26.126301419661665
43,"('FEEL', 'like', 'favoring')",25.86326701382787
44,"('FROM', 'THE', 'CONSENT')",25.86326701382787
45,"('Our', 'republican', 'robe')",25.86326701382787
46,"('POWERS', 'FROM', 'THE')",25.86326701382787
47,"('TO', 'REGULATE', 'ITS')",25.86326701382787
48,"('command', 'sooner', 'obeyed')",25.86326701382787
49,"('eight', 'presidential', 'electors')",25.86326701382787
50,"('watches', 'your', 'necessities')",25.86326701382787
51,"('-a', 'sad', 'evidence')",25.863267013827866
52,"('At', '$', '500')",25.64087459249142
53,"('lying', 'immediately', 'west')",25.64087459249142
54,"('continued', 'omission', 'recommended')",25.448229514549027
55,"('covert', 'real', 'zeal')",25.448229514549027
56,"('rapidly', 'becoming', 'extinct')",25.448229514549027
57,"('-an', 'origin', 'akin')",25.448229514549023
58,"('yet', 'effectually', 'suppressed')",25.278304513106715
59,"('-the', 'sheet', 'anchor')",25.27830451310671
60,"('National', 'congress', 'put')",25.126301419661665
61,"('President', 'Polk', 'asked')",25.126301419661665
62,"('extended', 'westward', 'across')",25.126301419661665
63,"('strictly', 'confine', 'myself')",25.126301419661665
64,"('Another', 'important', 'objection')",24.863267013827873
65,"('BEFORE', 'she', 'forms')",24.863267013827873
66,"('affirmed', 'nor', 'repealed')",24.863267013827873
67,"('extreme', 'northern', 'regions')",24.863267013827873
68,"('misery', '!', 'Oh')",24.863267013827873
69,"('rules', 'altogether', 'different')",24.863267013827873
70,"('selling', 'wild', 'horses')",24.863267013827873
71,"('sides', 'yielded', 'something')",24.863267013827873
72,"('stuck', 'like', 'wax')",24.863267013827873
73,"('twenty', 'additional', 'representatives')",24.863267013827873
74,"('-a', 'chopping', 'axe')",24.863267013827866
75,"('TEN', 'YEARS', 'before')",24.747789796407936
76,"('measure', 'PROVIDED', 'EACH')",24.747789796407936
77,"('another', 'step', 'toward')",24.64087459249142
78,"('convulsions', 'must', 'ceaselessly')",24.64087459249142
